aes-ecb-128;Round Number; Encryption Duration; Decryption Duration
;1;3246;7475
;2;3245;7476
;3;3245;7476
;4;3245;7474
;5;3246;7475
;6;3245;7475
;7;3245;7472
;8;3246;7476
;9;3245;7476
;10;3246;7475
;11;3245;7477
;12;3246;7476
;13;3245;7474
;14;3246;7474
;15;3245;7475
;16;3245;7473
;17;3245;7475
;18;3245;7476
;19;3245;7474
;20;3245;7477
;21;3246;7477
;22;3245;7476
;23;3245;7475
;24;3245;7476
;25;3245;7475
;26;3245;7477
;27;3245;7476
;28;3245;7474
;29;3245;7477
;30;3245;7477
;31;3245;7475
;32;3245;7476
;33;3245;7476
;34;3245;7474
;35;3245;7476
;36;3245;7476
;37;3245;7475
;38;3245;7474
;39;3245;7476
;40;3245;7476
;41;3245;7475
;42;3245;7476
;43;3245;7477
;44;3245;7477
;45;3245;7477
;46;3245;7475
;47;3245;7475
;48;3245;7473
;49;3245;7476
;50;3245;7477
;51;3245;7472
;52;3246;7477
;53;3245;7477
;54;3245;7477
;55;3244;7475
;56;3245;7476
;57;3245;7473
;58;3245;7476
;59;3245;7474
;60;3245;7477
;61;3245;7475
;62;3245;7476
;63;3245;7474
;64;3245;7473
;65;3245;7476
;66;3245;7475
;67;3245;7474
;68;3245;7470
;69;3246;7474
;70;3245;7476
;71;3245;7474
;72;3245;7475
;73;3245;7476
;74;3245;7475
;75;3245;7476
;76;3245;7476
;77;3245;7477
;78;3245;7477
;79;3245;7473
;80;3245;7474
;81;3245;7476
;82;3246;7477
;83;3245;7477
;84;3244;7477
;85;3245;7475
;86;3246;7472
;87;3246;7476
;88;3245;7477
;89;3245;7475
;90;3245;7476
;91;3245;7475
;92;3245;7473
;93;3245;7477
;94;3245;7477
;95;3245;7476
;96;3245;7477
;97;3245;7476
;98;3245;7474
;99;3245;7477
;100;3245;7477
;101;3245;7477
;102;3245;7477
;103;3245;7476
;104;3245;7476
;105;3245;7474
;106;3245;7476
;107;3245;7475
;108;3246;7477
;109;3245;7477
;110;3245;7474
;111;3246;7476
;112;3245;7476
;113;3245;7477
;114;3245;7476
;115;3245;7474
;116;3245;7476
;117;3245;7473
;118;3245;7477
;119;3245;7473
;120;3245;7477
;121;3245;7474
;122;3246;7471
;123;3245;7476
;124;3245;7476
;125;3244;7477
;126;3245;7474
;127;3245;7475
;128;3246;7477
;129;3245;7475
;130;3245;7474
;131;3246;7473
;132;3245;7476
;133;3245;7475
;134;3245;7476
;135;3245;7475
;136;3245;7474
;137;3246;7476
;138;3245;7476
;139;3245;7475
;140;3245;7477
;141;3245;7477
;142;3245;7476
;143;3245;7477
;144;3245;7477
;145;3245;7477
;146;3245;7473
;147;3245;7474
;148;3245;7476
;149;3245;7474
;150;3245;7476
;151;3245;7475
;152;3245;7476
;153;3245;7475
;154;3245;7477
;155;3245;7476
;156;3245;7475
;157;3246;7475
;158;3245;7476
;159;3245;7475
;160;3245;7477
;161;3245;7476
;162;3245;7475
;163;3245;7476
;164;3245;7475
;165;3245;7476
