aes-ecb-128;Round Number; Encryption Duration; Decryption Duration
;1;1566;2974
;2;1566;2974
;3;1566;2974
;4;1566;2974
;5;1566;2974
;6;1566;2980
;7;1565;2974
;8;1566;2974
;9;1566;2973
;10;1565;2974
;11;1565;2974
;12;1566;2981
;13;1566;2974
;14;1566;2974
;15;1565;2974
;16;1566;2974
;17;1566;2974
;18;1565;2974
;19;1566;2974
;20;1565;2974
;21;1566;2974
;22;1566;2974
;23;1565;2974
;24;1566;2974
;25;1572;2974
;26;1565;2974
;27;1565;2974
;28;1565;2974
;29;1565;2974
;30;1565;2974
;31;1565;2980
;32;1566;2974
;33;1566;2974
;34;1566;2974
;35;1566;2974
;36;1566;2974
;37;1566;2981
;38;1566;2974
;39;1566;2974
;40;1566;2974
;41;1566;2974
;42;1566;2974
;43;1566;2981
;44;1565;2974
;45;1565;2974
;46;1566;2974
;47;1565;2974
;48;1565;2974
;49;1565;2974
;50;1565;2974
;51;1565;2974
;52;1565;2973
;53;1565;2974
;54;1565;2974
;55;1565;2973
;56;1572;2974
;57;1565;2974
;58;1565;2974
;59;1565;2974
;60;1565;2974
;61;1565;2973
;62;1565;2980
;63;1565;2974
;64;1565;2973
;65;1565;2974
;66;1565;2974
;67;1565;2974
;68;1566;2981
;69;1566;2974
;70;1565;2974
;71;1565;2974
;72;1565;2974
;73;1565;2974
;74;1565;2980
;75;1565;2974
;76;1565;2974
;77;1565;2974
;78;1565;2974
;79;1565;2974
;80;1565;2974
;81;1565;2974
;82;1565;2974
;83;1565;2974
;84;1565;2974
;85;1565;2974
;86;1565;2974
;87;1572;2974
;88;1565;2974
;89;1566;2974
;90;1566;2974
;91;1565;2974
;92;1565;2974
;93;1565;2981
;94;1565;2974
;95;1565;2974
;96;1565;2974
;97;1565;2974
;98;1565;2974
;99;1565;2981
;100;1565;2974
;101;1565;2974
;102;1565;2974
;103;1565;2974
;104;1565;2974
;105;1565;2980
;106;1565;2974
;107;1565;2974
;108;1565;2974
;109;1565;2974
;110;1565;2974
;111;1566;2981
;112;1566;2974
;113;1565;2974
;114;1565;2974
;115;1565;2974
;116;1565;2974
;117;1565;2974
;118;1572;2974
;119;1565;2974
;120;1565;2974
;121;1565;2974
;122;1565;2974
;123;1565;2974
;124;1572;2974
;125;1565;2974
;126;1565;2974
;127;1565;2974
;128;1565;2974
;129;1565;2974
;130;1565;2981
;131;1565;2974
;132;1565;2974
;133;1566;2974
;134;1566;2974
;135;1566;2974
;136;1565;2981
;137;1565;2974
;138;1565;2974
;139;1565;2974
;140;1565;2974
;141;1565;2974
;142;1565;2981
;143;1565;2974
;144;1565;2974
;145;1565;2974
;146;1565;2974
;147;1565;2974
;148;1565;2974
;149;1565;2974
;150;1565;2974
;151;1565;2974
;152;1565;2974
;153;1565;2974
;154;1565;2974
;155;1573;2974
;156;1566;2974
;157;1566;2974
;158;1565;2974
;159;1565;2974
;160;1565;2974
;161;1572;2974
;162;1565;2974
;163;1565;2974
;164;1565;2974
;165;1565;2974
;166;1565;2974
;167;1565;2981
;168;1565;2974
;169;1565;2974
;170;1565;2974
;171;1565;2974
;172;1565;2974
;173;1565;2981
;174;1565;2974
;175;1565;2974
;176;1565;2974
;177;1566;2974
;178;1566;2974
;179;1566;2981
;180;1565;2974
;181;1565;2974
;182;1565;2974
;183;1565;2974
;184;1565;2974
;185;1565;2974
