aes-ecb-128;Round Number; Encryption Duration; Decryption Duration
;1;4;4
;2;4;4
;3;3;4
;4;4;4
;5;3;4
;6;3;4
;7;4;4
;8;3;4
;9;4;3
;10;3;4
;11;4;3
;12;3;4
;13;3;4
;14;3;4
;15;4;3
;16;4;3
;17;3;4
;18;4;4
;19;3;4
;20;4;3
;21;3;4
;22;4;3
;23;3;4
;24;3;4
;25;4;4
;26;4;4
;27;3;4
;28;3;4
;29;4;3
;30;3;4
;31;4;3
;32;4;4
;33;3;4
;34;3;4
;35;4;3
;36;3;4
;37;4;4
;38;3;4
;39;3;4
;40;3;4
;41;4;4
;42;3;4
;43;4;4
;44;3;4
;45;3;4
;46;3;4
;47;4;3
;48;4;3
;49;3;4
;50;3;15
;51;3;3
;52;3;3
;53;3;4
;54;3;3
;55;2;3
;56;3;3
;57;3;3
;58;3;4
;59;3;3
;60;3;3
;61;3;3
;62;3;3
;63;3;3
;64;3;3
;65;3;3
;66;3;4
;67;3;3
;68;3;3
;69;2;3
;70;3;3
;71;3;3
;72;3;3
;73;3;4
;74;3;4
;75;3;4
;76;3;3
;77;3;3
;78;3;3
;79;2;3
;80;3;3
;81;2;3
;82;3;3
;83;3;4
;84;3;3
;85;3;3
;86;3;3
;87;3;3
;88;3;3
;89;3;4
;90;3;3
;91;3;3
;92;3;4
;93;3;3
;94;3;3
;95;3;3
;96;2;3
;97;3;4
;98;2;3
;99;3;3
;100;3;4
;101;30;4
;102;3;3
;103;3;3
;104;3;4
;105;3;4
;106;2;3
;107;3;3
;108;3;3
;109;3;3
;110;3;4
;111;2;3
;112;3;3
;113;3;3
;114;3;3
;115;3;3
;116;3;3
;117;3;3
;118;3;3
;119;3;3
;120;3;3
;121;3;4
;122;3;3
;123;3;3
;124;3;3
;125;3;3
;126;3;3
;127;3;3
;128;3;3
;129;3;3
;130;3;3
;131;2;3
;132;3;3
;133;3;3
;134;3;4
;135;3;3
;136;3;3
;137;2;3
;138;3;3
;139;3;3
;140;3;3
;141;3;3
;142;2;3
;143;3;3
;144;3;3
;145;3;4
;146;3;3
;147;3;3
;148;3;3
;149;3;3
;150;3;3
;151;3;3
;152;3;3
;153;3;3
;154;3;3
;155;3;4
;156;3;4
;157;3;3
;158;3;3
;159;3;3
;160;3;3
;161;3;4
;162;2;3
;163;3;3
;164;3;3
;165;3;3
;166;3;3
;167;3;3
;168;3;3
;169;3;3
;170;3;3
;171;3;3
;172;3;3
;173;3;3
;174;3;3
;175;3;3
;176;3;3
;177;2;3
;178;3;3
;179;3;3
;180;3;3
;181;2;3
;182;3;3
;183;3;3
;184;3;3
;185;3;3
;186;2;3
;187;3;3
;188;3;3
;189;3;3
;190;3;3
;191;3;3
;192;2;3
;193;3;3
;194;3;3
;195;3;3
;196;2;3
;197;3;3
;198;3;3
;199;3;3
;200;3;3
;201;3;3
;202;2;3
;203;3;3
;204;3;3
;205;3;3
;206;2;3
;207;3;3
;208;3;3
;209;3;3
;210;3;3
;211;3;3
;212;3;3
;213;3;3
;214;3;3
;215;3;20
;216;4;3
;217;2;3
;218;3;3
;219;3;3
;220;3;4
;221;3;3
;222;3;3
;223;3;3
;224;2;3
;225;3;3
;226;3;3
;227;3;3
;228;3;3
;229;3;4
;230;3;3
;231;3;3
;232;3;3
;233;2;3
;234;2;3
;235;3;3
;236;3;4
;237;3;3
;238;3;3
;239;3;3
;240;3;3
;241;3;3
;242;3;3
;243;3;4
;244;3;3
;245;2;3
;246;3;3
;247;2;3
;248;3;3
;249;3;3
;250;3;3
;251;3;3
;252;3;3
;253;3;3
;254;3;4
;255;3;3
;256;3;4
;257;3;4
;258;3;3
;259;2;3
;260;3;3
;261;3;3
;262;3;4
;263;2;3
;264;3;4
;265;3;3
;266;3;3
;267;3;4
;268;3;3
;269;3;3
;270;3;3
;271;3;3
;272;3;3
;273;3;3
;274;3;3
;275;3;4
;276;3;3
;277;3;3
;278;3;3
;279;3;3
;280;3;3
;281;3;3
;282;3;3
;283;3;3
;284;3;3
;285;3;3
;286;3;15
;287;3;3
;288;3;3
;289;3;3
;290;3;3
;291;3;3
;292;2;3
;293;3;3
;294;3;3
;295;3;4
;296;3;3
;297;3;3
;298;3;3
;299;2;3
;300;3;3
;301;3;3
;302;3;4
;303;3;3
;304;3;3
;305;3;3
;306;3;3
;307;3;4
;308;3;3
;309;3;3
;310;3;4
;311;3;3
;312;3;4
;313;3;3
;314;3;4
;315;2;3
;316;3;3
;317;3;4
;318;3;3
;319;3;4
;320;3;4
;321;3;4
;322;3;3
;323;3;4
;324;3;4
;325;3;3
;326;3;3
;327;3;4
;328;3;3
;329;16;4
;330;3;3
;331;3;4
;332;3;3
;333;3;3
;334;3;4
;335;2;3
;336;3;3
;337;2;3
;338;3;4
;339;3;3
;340;3;4
;341;2;3
;342;3;3
;343;3;3
;344;3;3
;345;3;4
;346;1;1
;347;1;2
;348;2;1
;349;1;1
;350;2;1
;351;1;2
;352;1;1
;353;2;1
;354;1;1
;355;1;1
;356;1;2
;357;1;1
;358;1;2
;359;1;1
;360;1;2
;361;1;1
;362;1;2
;363;1;1
;364;1;2
;365;1;2
;366;2;1
;367;1;2
;368;1;2
;369;1;1
;370;1;2
;371;1;1
;372;1;2
;373;1;2
;374;2;1
;375;1;1
;376;1;1
;377;1;2
;378;2;1
;379;1;1
;380;1;2
;381;1;2
;382;1;2
;383;2;1
;384;1;2
;385;1;2
;386;2;1
;387;2;1
;388;1;1
;389;2;1
;390;1;1
;391;1;2
;392;1;2
;393;1;1
;394;1;2
;395;2;1
;396;1;1
;397;1;2
;398;2;1
;399;1;2
;400;2;1
;401;1;1
;402;1;2
;403;1;2
;404;1;2
;405;1;1
;406;1;1
;407;1;2
;408;2;1
;409;1;1
;410;1;1
;411;1;2
;412;2;1
;413;1;2
;414;2;1
;415;2;1
;416;1;1
;417;2;1
;418;1;1
;419;2;1
;420;1;2
;421;2;1
;422;1;2
;423;1;2
;424;2;1
;425;1;1
;426;1;2
;427;1;1
;428;1;2
;429;2;1
;430;1;2
;431;1;2
;432;2;1
;433;1;2
;434;1;1
;435;1;1
;436;1;1
;437;1;2
;438;2;1
;439;1;1
;440;1;2
;441;2;1
;442;1;1
;443;1;2
;444;2;1
;445;1;1
;446;1;2
;447;2;1
