aes-ecb-128;Round Number; Encryption Duration; Decryption Duration
;1;6491;14840
;2;6492;14829
;3;6491;14820
;4;6490;14828
;5;6492;14828
;6;6490;14847
;7;6492;14821
;8;6491;14825
;9;6491;14831
;10;6491;14819
;11;6491;14828
;12;6492;14810
;13;6491;14827
;14;6491;14822
;15;6491;14826
;16;6492;14818
;17;6492;14831
;18;6491;14826
;19;6491;14825
;20;6491;14820
;21;6492;14832
;22;6491;14826
;23;6492;14828
;24;6491;14826
;25;6491;14830
;26;6491;14823
;27;6490;14830
;28;6491;14826
;29;6491;14834
;30;6492;14826
;31;6491;14825
;32;6491;14813
;33;6491;14827
;34;6490;14814
;35;6491;14816
;36;6491;14815
;37;6491;14826
;38;6491;14818
;39;6491;14834
;40;6492;14840
;41;6491;14825
;42;6491;14833
;43;6491;14829
;44;6492;14826
;45;6491;14829
;46;6491;14816
;47;6491;14829
;48;6490;14822
;49;6491;14839
;50;6491;14832
;51;6491;14829
;52;6491;14824
;53;6491;14833
;54;6492;14832
;55;6491;14826
;56;6491;14824
;57;6492;14834
;58;6491;14837
;59;6491;14842
;60;6491;14823
;61;6491;14817
;62;6491;14828
;63;6491;14826
;64;6492;14823
;65;6491;14818
;66;6490;14828
;67;6491;14834
;68;6491;14842
;69;6490;14833
;70;6491;14824
;71;6490;14813
;72;6491;14828
;73;6491;14831
;74;6491;14837
;75;6491;14814
;76;6491;14818
;77;6491;14834
;78;6491;14818
;79;6491;14829
;80;6491;14824
;81;6491;14825
;82;6490;14820
;83;6491;14826
;84;6491;14825
;85;6491;14823
;86;6491;14831
;87;6492;14818
;88;6491;14839
;89;6491;14821
;90;6491;14842
;91;6491;14834
;92;6492;14839
;93;6491;14842
;94;6492;14821
;95;6491;14827
;96;6492;14830
;97;6491;14831
;98;6490;14821
;99;6491;14816
;100;6491;14826
;101;6491;14831
;102;6491;14829
;103;6491;14810
;104;6489;14821
;105;6492;14831
;106;6490;14815
;107;6491;14818
;108;6491;14828
;109;6491;14829
;110;6492;14812
;111;6491;14821
;112;6491;14826
;113;6490;14820
;114;6491;14832
;115;6491;14831
;116;6491;14840
;117;6491;14829
;118;6492;14820
;119;6491;14825
;120;6491;14829
;121;6492;14806
;122;6492;14834
;123;6491;14831
;124;6491;14829
;125;6491;14826
;126;6491;14820
;127;6492;14817
;128;6492;14823
;129;6491;14824
;130;6491;14833
;131;6491;14831
;132;6491;14820
;133;6491;14822
;134;6492;14816
;135;6491;14821
;136;6491;14820
;137;6492;14841
;138;6492;14823
;139;6492;14813
;140;6492;14821
;141;6492;14822
;142;6491;14822
;143;6491;14839
;144;6492;14826
;145;6492;14826
;146;6491;14837
;147;6491;14829
;148;6491;14829
;149;6491;14817
;150;6491;14830
;151;6491;14816
;152;6492;14834
;153;6492;14828
;154;6492;14831
;155;6491;14820
;156;6490;14821
;157;6491;14834
;158;6492;14826
;159;6491;14826
;160;6491;14834
;161;6492;14837
;162;6491;14839
;163;6491;14825
;164;6491;14815
;165;6492;14846
;166;6492;14821
;167;6489;14815
;168;6491;14815
;169;6491;14831
;170;6492;14830
;171;6491;14823
;172;6491;14822
;173;6492;14819
;174;6491;14825
;175;6491;14823
;176;6492;14818
;177;6491;14824
;178;6491;14825
;179;6492;14817
;180;6491;14818
;181;6491;14815
;182;6492;14831
;183;6491;14834
;184;6492;14821
;185;6490;14819
;186;6490;14822
;187;6492;14819
;188;6492;14819
;189;6491;14827
;190;6491;14823
;191;6491;14834
;192;6492;14831
;193;6491;14821
;194;6491;14834
;195;6492;14818
;196;6491;14829
;197;6492;14825
;198;6492;14834
;199;6491;14833
;200;6491;14837
;201;6491;14815
;202;6491;14817
;203;6492;14829
;204;6491;14830
;205;6491;14813
;206;6490;14819
;207;6491;14823
;208;6491;14828
;209;6491;14823
;210;6491;14826
;211;6491;14834
;212;6491;14826
;213;6491;14836
;214;6491;14822
;215;6491;14816
;216;6491;14823
;217;6491;14815
;218;6492;14826
;219;6491;14829
;220;6492;14830
;221;6492;14818
;222;6492;14826
;223;6491;14820
;224;6491;14828
;225;6491;14829
;226;6491;14832
;227;6491;14831
;228;6492;14816
;229;6491;14834
;230;6492;14820
;231;6492;14820
;232;6491;14842
;233;6492;14805
;234;6491;14819
;235;6492;14828
;236;6491;14823
;237;6491;14818
;238;6492;14838
;239;6491;14820
;240;6491;14823
;241;6491;14816
;242;6491;14819
;243;6492;14831
;244;6491;14818
;245;6492;14822
;246;6491;14829
;247;6491;14820
;248;6491;14826
;249;6491;14837
;250;6491;14834
;251;6491;14821
;252;6491;14825
;253;6491;14840
;254;6492;14834
;255;6492;14826
;256;6492;14827
;257;6492;14818
;258;6491;14836
;259;6491;14832
;260;6491;14840
;261;6491;14832
;262;6491;14813
;263;6492;14834
;264;6492;14823
;265;6492;14824
;266;6490;14828
;267;6490;14818
;268;6491;14816
;269;6491;14809
;270;6491;14821
;271;6492;14845
;272;6491;14830
;273;6491;14823
;274;6490;14819
;275;6491;14830
;276;6491;14829
;277;6491;14829
;278;6490;14817
;279;6492;14842
;280;6491;14818
;281;6491;14820
;282;6492;14835
;283;6491;14828
;284;6491;14823
;285;6491;14837
;286;6491;14826
;287;6491;14834
;288;6491;14822
;289;6491;14823
;290;6491;14811
;291;6491;14834
;292;6491;14819
;293;6491;14828
;294;6491;14818
;295;6491;14829
;296;6490;14821
;297;6491;14820
;298;6490;14827
;299;6492;14832
;300;6491;14821
;301;6491;14815
;302;6491;14817
;303;6491;14820
;304;6491;14825
;305;6491;14817
;306;6492;14831
;307;6491;14821
;308;6492;14820
;309;6491;14821
;310;6492;14846
;311;6492;14818
;312;6492;14830
;313;6491;14818
;314;6492;14829
;315;6491;14818
;316;6491;14813
;317;6491;14829
;318;6491;14816
;319;6492;14820
;320;6491;14820
;321;6491;14831
;322;6492;14813
;323;6490;14822
;324;6492;14829
;325;6492;14829
;326;6491;14826
;327;6491;14821
;328;6492;14823
;329;6492;14831
;330;6491;14823
;331;6490;14834
;332;6492;14831
;333;6491;14824
;334;6491;14826
;335;6491;14834
;336;6491;14826
;337;6491;14825
;338;6491;14835
;339;6492;14829
;340;6492;14829
;341;6491;14819
;342;6492;14845
;343;6491;14834
;344;6491;14827
;345;6492;14815
;346;6491;14834
;347;6491;14821
;348;6491;14826
;349;6491;14826
;350;6491;14816
;351;6492;14823
;352;6491;14813
;353;6492;14817
;354;6491;14827
;355;6491;14826
;356;6492;14814
;357;6492;14826
;358;6491;14813
;359;6491;14813
;360;6491;14845
;361;6492;14821
;362;6492;14816
;363;6491;14837
;364;6492;14824
;365;6491;14831
;366;6492;14839
;367;6491;14823
;368;6492;14823
;369;6491;14834
;370;6491;14818
;371;6491;14820
;372;6491;14812
;373;6491;14835
;374;6491;14815
;375;6491;14818
;376;6492;14839
;377;6491;14811
;378;6491;14827
;379;6492;14825
;380;6491;14834
;381;6492;14823
;382;6491;14832
;383;6491;14833
;384;6491;14818
;385;6492;14825
;386;6491;14821
;387;6491;14829
;388;6491;14818
;389;6492;14829
;390;6492;14815
;391;6492;14825
;392;6492;14831
;393;6491;14825
;394;6491;14833
;395;6491;14826
;396;6491;14827
;397;6491;14829
;398;6491;14826
;399;6491;14834
;400;6491;14831
;401;6491;14816
;402;6491;14834
;403;6490;14809
;404;6491;14837
;405;6492;14817
;406;6491;14834
;407;6491;14822
;408;6492;14831
;409;6491;14827
;410;6490;14825
;411;6490;14818
;412;6491;14826
;413;6491;14822
;414;6491;14818
;415;6492;14825
;416;6491;14817
;417;6491;14830
;418;6491;14807
;419;6492;14823
;420;6491;14837
;421;6492;14823
;422;6491;14842
;423;6491;14822
;424;6491;14829
;425;6491;14824
;426;6491;14827
;427;6490;14818
;428;6492;14818
;429;6491;14829
;430;6491;14818
;431;6491;14826
;432;6491;14837
;433;6491;14828
;434;6491;14826
;435;6492;14813
;436;6490;14811
;437;6491;14830
;438;6491;14834
;439;6492;14821
;440;6492;14808
;441;6491;14813
;442;6492;14822
;443;6491;14826
;444;6491;14834
;445;6491;14823
;446;6491;14835
;447;6491;14818
;448;6491;14825
;449;6491;14831
;450;6492;14834
;451;6491;14840
;452;6491;14815
;453;6492;14826
;454;6492;14804
;455;6491;14834
;456;6491;14814
;457;6491;14831
;458;6490;14819
;459;6491;14820
;460;6490;14817
;461;6491;14828
;462;6491;14814
;463;6491;14805
;464;6491;14830
;465;6492;14823
;466;6492;14826
;467;6491;14834
;468;6490;14826
;469;6490;14827
;470;6491;14839
;471;6491;14834
;472;6492;14831
;473;6492;14826
;474;6491;14828
;475;6491;14823
;476;6491;14830
;477;6492;14832
;478;6492;14810
;479;6491;14829
;480;6491;14828
;481;6490;14824
;482;6492;14818
;483;6491;14834
;484;6491;14834
;485;6491;14815
;486;6492;14828
;487;6491;14821
;488;6492;14819
;489;6491;14808
;490;6492;14834
;491;6491;14834
;492;6491;14814
;493;6492;14829
;494;6492;14831
;495;6492;14823
;496;6491;14828
;497;6492;14819
;498;6491;14826
;499;6491;14825
;500;6491;14820
;501;6492;14820
;502;6490;14819
;503;6492;14822
;504;6492;14824
;505;6491;14817
;506;6491;14826
;507;6491;14818
;508;6492;14817
;509;6492;14817
;510;6492;14825
;511;6492;14821
;512;6491;14834
;513;6492;14842
;514;6491;14834
;515;6492;14821
;516;6492;14840
;517;6491;14824
;518;6491;14829
;519;6492;14824
;520;6491;14825
;521;6492;14826
;522;6491;14815
;523;6491;14832
;524;6490;14833
;525;6491;14829
;526;6491;14821
;527;6491;14827
;528;6491;14834
;529;6491;14821
;530;6491;14812
;531;6491;14829
;532;6492;14840
;533;6491;14821
;534;6491;14830
;535;6491;14830
;536;6491;14820
;537;6491;14834
;538;6491;14825
;539;6491;14826
;540;6491;14821
;541;6491;14826
;542;6492;14831
;543;6491;14831
;544;6492;14825
;545;6492;14819
;546;6491;14818
;547;6491;14834
;548;6491;14824
;549;6491;14823
;550;6491;14831
;551;6491;14837
;552;6492;14826
;553;6491;14831
;554;6491;14820
;555;6492;14818
;556;6491;14831
;557;6491;14839
;558;6491;14822
;559;6491;14832
;560;6492;14822
;561;6491;14811
;562;6492;14835
;563;6491;14823
;564;6491;14823
;565;6491;14826
;566;6492;14826
;567;6491;14837
;568;6491;14829
;569;6491;14833
;570;6492;14826
;571;6490;14814
;572;6492;14837
;573;6492;14813
;574;6492;14824
;575;6491;14823
;576;6490;14830
;577;6491;14845
;578;6491;14826
;579;6492;14818
;580;6491;14826
;581;6490;14823
;582;6491;14830
;583;6491;14827
;584;6491;14839
;585;6492;14828
;586;6491;14830
;587;6491;14807
;588;6492;14831
;589;6491;14823
;590;6491;14837
;591;6492;14829
;592;6492;14821
;593;6491;14820
;594;6491;14824
;595;6492;14818
;596;6491;14815
;597;6491;14831
;598;6492;14818
;599;6491;14823
;600;6491;14823
;601;6492;14834
;602;6492;14829
;603;6491;14820
;604;6491;14831
;605;6492;14829
;606;6491;14850
;607;6491;14813
;608;6491;14821
;609;6491;14824
;610;6491;14827
;611;6491;14816
;612;6491;14814
;613;6492;14818
;614;6492;14829
;615;6491;14811
;616;6491;14826
;617;6490;14814
;618;6492;14818
;619;6490;14823
;620;6492;14828
;621;6491;14818
;622;6491;14830
;623;6491;14828
;624;6491;14817
;625;6492;14825
;626;6491;14829
;627;6491;14826
;628;6492;14832
;629;6491;14834
;630;6492;14825
;631;6491;14820
;632;6491;14816
;633;6491;14821
;634;6491;14826
;635;6491;14827
;636;6492;14828
;637;6491;14818
;638;6492;14828
;639;6491;14822
;640;6491;14826
;641;6491;14826
;642;6490;14831
;643;6493;14807
;644;6491;14823
;645;6491;14817
;646;6491;14834
;647;6491;14818
;648;6491;14834
;649;6492;14832
;650;6491;14813
;651;6491;14818
;652;6491;14812
;653;6492;14814
;654;6492;14810
;655;6492;14823
;656;6491;14818
;657;6492;14815
;658;6492;14840
;659;6491;14829
;660;6490;14828
;661;6492;14821
;662;6492;14831
;663;6491;14825
;664;6492;14837
;665;6492;14828
;666;6491;14829
;667;6491;14821
;668;6491;14821
;669;6491;14812
;670;6491;14826
;671;6491;14825
;672;6491;14819
;673;6492;14827
;674;6491;14821
;675;6491;14831
;676;6491;14815
;677;6491;14829
;678;6491;14842
;679;6490;14835
;680;6491;14834
;681;6492;14834
;682;6491;14820
;683;6491;14821
;684;6491;14828
;685;6491;14830
;686;6491;14817
;687;6491;14832
;688;6492;14834
;689;6492;14832
;690;6491;14837
;691;6491;14831
;692;6490;14821
;693;6491;14836
;694;6491;14818
;695;6491;14826
;696;6491;14821
;697;6492;14834
;698;6491;14826
;699;6491;14830
;700;6491;14842
;701;6491;14821
;702;6490;14823
;703;6491;14815
;704;6492;14822
;705;6491;14823
;706;6491;14839
;707;6492;14834
;708;6491;14832
;709;6492;14834
;710;6491;14823
;711;6491;14842
;712;6492;14819
;713;6491;14818
;714;6491;14818
