aes-ecb-128;Round Number; Encryption Duration; Decryption Duration
;1;100;235
;2;100;235
;3;100;235
;4;100;235
;5;100;235
;6;100;235
;7;100;235
;8;100;235
;9;100;235
;10;100;235
;11;100;235
;12;100;235
;13;100;234
;14;100;235
;15;100;235
;16;100;235
;17;100;235
;18;100;235
;19;100;235
;20;100;235
;21;100;235
;22;100;235
;23;100;235
;24;100;235
;25;100;235
;26;100;235
;27;100;235
;28;100;235
;29;100;235
;30;100;235
;31;100;235
;32;100;235
;33;100;235
;34;100;235
;35;100;235
;36;100;235
;37;100;235
;38;100;235
;39;100;235
;40;100;235
;41;100;235
;42;100;235
;43;100;235
;44;100;235
;45;100;235
;46;100;235
;47;100;235
;48;100;235
;49;100;235
;50;100;235
;51;100;235
;52;100;235
;53;100;235
;54;100;235
;55;100;235
;56;100;235
;57;100;235
;58;100;235
;59;100;235
;60;100;235
;61;100;235
;62;100;235
;63;100;235
;64;100;235
;65;100;235
;66;100;235
;67;100;235
;68;100;235
;69;100;235
;70;100;235
;71;100;235
;72;100;235
;73;100;235
;74;100;235
;75;100;235
;76;100;235
;77;100;235
;78;100;235
;79;100;235
;80;100;235
;81;100;235
;82;100;235
;83;100;235
;84;100;235
;85;100;235
;86;100;235
;87;100;235
;88;100;235
;89;100;235
;90;100;235
;91;100;235
;92;100;235
;93;100;235
;94;100;235
;95;100;235
;96;100;235
;97;100;235
;98;100;235
;99;100;235
;100;100;235
;101;100;235
;102;100;235
;103;100;235
;104;100;235
;105;100;235
;106;100;235
;107;100;235
;108;100;235
;109;100;235
;110;100;235
;111;100;235
;112;100;235
;113;100;235
;114;100;235
;115;100;235
;116;100;235
;117;100;235
;118;100;235
;119;100;235
;120;100;235
;121;100;235
;122;100;235
;123;100;235
;124;100;235
;125;100;235
;126;100;235
;127;100;235
;128;100;235
;129;100;235
;130;100;235
;131;100;235
;132;100;235
;133;100;235
;134;100;235
;135;100;235
;136;100;235
;137;100;235
;138;100;235
;139;100;235
;140;100;235
;141;100;235
;142;100;235
;143;100;235
;144;100;235
;145;100;235
;146;100;235
;147;100;235
;148;100;235
;149;100;235
;150;100;235
;151;100;235
;152;100;235
;153;100;235
;154;100;235
;155;100;235
;156;100;235
;157;100;235
;158;100;235
;159;100;235
;160;100;235
;161;100;235
;162;100;235
;163;100;235
;164;100;235
;165;100;235
;166;100;235
;167;100;235
;168;100;235
;169;100;235
;170;100;235
;171;100;235
;172;100;235
;173;100;235
;174;100;235
;175;100;235
;176;100;235
;177;100;235
;178;100;235
;179;100;235
;180;100;235
;181;100;235
;182;100;235
;183;100;235
;184;100;235
;185;100;235
;186;100;235
;187;100;235
;188;100;235
;189;100;235
;190;100;235
;191;100;235
;192;100;235
;193;100;235
;194;100;235
;195;100;235
;196;100;235
;197;100;235
;198;100;235
;199;100;235
;200;100;235
;201;100;235
;202;100;235
;203;100;235
;204;100;235
;205;100;235
;206;100;235
;207;100;235
;208;100;235
;209;100;235
;210;100;235
;211;100;235
;212;100;235
;213;100;235
;214;100;235
;215;100;235
;216;100;235
;217;100;235
;218;100;235
;219;100;235
;220;100;235
;221;100;235
;222;100;235
;223;100;235
;224;100;235
;225;100;235
;226;100;235
;227;100;235
;228;100;235
;229;100;235
;230;100;235
;231;100;235
;232;100;235
;233;100;235
;234;100;235
;235;100;235
;236;100;235
;237;100;235
;238;100;235
;239;100;235
;240;100;235
;241;100;235
;242;100;235
;243;100;235
;244;100;235
;245;100;235
;246;100;235
;247;100;235
;248;100;235
;249;100;235
;250;100;235
;251;100;235
;252;100;235
;253;100;235
;254;100;235
;255;100;235
;256;100;235
;257;100;235
;258;100;235
;259;100;235
;260;100;235
;261;100;235
;262;100;235
;263;100;235
;264;100;235
;265;100;235
;266;100;235
;267;100;235
