aes-ecb-128;Round Number; Encryption Duration; Decryption Duration
;1;49;101
;2;49;102
;3;48;101
;4;48;101
;5;48;101
;6;49;101
;7;49;101
;8;49;101
;9;48;101
;10;49;101
;11;48;101
;12;48;101
;13;48;101
;14;49;101
;15;48;101
;16;48;101
;17;48;101
;18;48;101
;19;48;101
;20;49;101
;21;48;101
;22;48;101
;23;49;101
;24;48;101
;25;48;101
;26;49;101
;27;48;101
;28;48;101
;29;48;101
;30;49;101
;31;48;101
;32;48;101
;33;49;101
;34;49;101
;35;48;101
;36;48;101
;37;49;101
;38;48;101
;39;48;101
;40;49;101
;41;48;101
;42;48;101
;43;48;101
;44;49;101
;45;48;101
;46;48;101
;47;49;101
;48;48;101
;49;48;101
;50;49;101
;51;48;101
;52;49;102
;53;49;101
;54;48;101
;55;48;101
;56;49;101
;57;48;101
;58;48;101
;59;48;101
;60;49;101
;61;48;101
;62;48;101
;63;49;101
;64;48;101
;65;48;101
;66;49;101
;67;48;101
;68;48;101
;69;55;102
;70;49;101
;71;48;101
;72;48;101
;73;49;101
;74;48;101
;75;48;101
;76;48;101
;77;49;101
;78;48;101
;79;48;101
;80;49;101
;81;49;101
;82;48;101
;83;48;101
;84;48;101
;85;48;101
;86;48;101
;87;49;101
;88;49;101
;89;49;101
;90;48;101
;91;48;101
;92;48;101
;93;48;101
;94;48;101
;95;48;101
;96;48;101
;97;49;101
;98;49;101
;99;49;101
;100;48;101
;101;49;101
;102;49;101
;103;49;101
;104;48;101
;105;48;101
;106;49;101
;107;49;101
;108;48;101
;109;48;101
;110;48;101
;111;48;101
;112;48;101
;113;48;101
;114;48;101
;115;49;101
;116;49;101
;117;49;101
;118;48;101
;119;48;101
;120;48;101
;121;48;101
;122;49;102
;123;48;101
;124;48;101
;125;48;101
;126;48;101
;127;48;101
;128;49;101
;129;49;101
;130;49;101
;131;49;101
;132;49;101
;133;49;101
;134;49;101
;135;49;101
;136;49;101
;137;49;101
;138;49;101
;139;49;101
;140;48;101
;141;48;101
;142;48;101
;143;48;101
;144;48;101
;145;48;101
;146;48;101
;147;48;101
;148;48;101
;149;48;101
;150;48;101
;151;48;101
;152;48;101
;153;48;101
;154;48;101
;155;48;101
;156;48;101
;157;49;101
;158;48;101
;159;48;101
;160;48;101
;161;48;101
;162;48;101
;163;48;101
;164;48;101
;165;48;101
;166;48;101
;167;48;101
;168;48;101
;169;48;101
;170;48;101
;171;48;101
;172;48;101
;173;48;101
;174;49;102
;175;48;101
;176;48;101
;177;48;101
;178;48;101
;179;48;101
;180;48;101
;181;48;101
;182;48;101
;183;48;101
;184;48;101
;185;48;101
;186;48;101
;187;48;101
;188;48;101
;189;48;101
;190;48;101
;191;48;101
;192;49;102
;193;48;101
;194;48;101
;195;48;101
;196;48;101
;197;48;101
;198;48;101
;199;48;101
;200;48;101
;201;48;101
;202;48;101
;203;48;101
;204;48;101
;205;48;101
;206;48;101
;207;48;101
;208;48;101
;209;49;101
;210;49;101
;211;49;101
;212;49;101
;213;49;101
;214;49;101
;215;49;101
;216;49;101
;217;49;101
;218;49;101
;219;49;101
;220;49;101
;221;49;101
;222;49;101
;223;49;101
;224;49;101
;225;49;101
;226;49;101
;227;49;101
;228;49;101
;229;49;101
;230;49;101
;231;49;101
;232;49;101
;233;49;101
;234;49;101
;235;49;101
;236;49;101
;237;49;101
;238;49;101
;239;49;101
;240;49;101
;241;49;101
;242;49;101
;243;49;101
;244;49;102
;245;48;101
;246;48;101
;247;48;101
;248;48;101
;249;48;101
;250;48;101
;251;48;101
;252;48;101
;253;48;101
;254;48;101
;255;48;101
;256;48;101
;257;48;101
