aes-ecb-128;Round Number; Encryption Duration; Decryption Duration
;1;1;1
;2;1;2
;3;2;1
;4;1;1
;5;1;1
;6;1;2
;7;1;2
;8;2;1
;9;1;2
;10;1;2
;11;1;2
;12;2;1
;13;2;1
;14;2;1
;15;1;2
;16;1;1
;17;1;2
;18;2;1
;19;1;2
;20;2;1
;21;1;2
;22;1;1
;23;2;1
;24;1;2
;25;1;1
;26;2;1
;27;1;2
;28;2;1
;29;1;2
;30;1;2
;31;2;1
;32;1;2
;33;1;2
;34;1;1
;35;1;1
;36;2;1
;37;2;1
;38;1;2
;39;1;2
;40;2;1
;41;1;1
;42;1;1
;43;1;2
;44;1;2
;45;1;1
;46;1;2
;47;1;2
;48;2;1
;49;1;1
;50;1;2
;51;2;1
;52;1;2
;53;1;2
;54;1;1
;55;2;1
;56;2;1
;57;2;1
;58;1;2
;59;2;1
;60;1;1
;61;1;1
;62;1;2
;63;1;2
;64;2;1
;65;1;2
;66;1;1
;67;2;1
;68;1;2
;69;2;1
;70;1;1
;71;1;2
;72;1;2
;73;1;2
;74;1;1
;75;1;1
;76;1;2
;77;1;2
;78;1;2
;79;1;2
;80;1;2
;81;2;1
;82;1;1
;83;1;2
;84;1;2
;85;2;1
;86;1;2
;87;1;1
;88;2;1
;89;2;1
;90;1;2
;91;2;1
;92;1;2
;93;1;2
;94;1;2
;95;2;1
;96;2;1
;97;1;1
;98;1;2
;99;1;2
;100;1;2
;101;2;1
;102;1;2
;103;1;2
;104;1;2
;105;2;1
;106;1;2
;107;1;2
;108;2;1
;109;1;1
;110;1;2
;111;2;1
;112;1;2
;113;1;2
;114;1;1
;115;1;1
;116;1;1
;117;1;1
;118;2;2
;119;2;2
;120;1;2
;121;2;2
;122;1;2
;123;2;2
;124;1;1
;125;1;1
;126;1;1
;127;1;2
;128;2;1
;129;1;2
;130;1;2
;131;2;2
;132;2;1
;133;2;1
;134;2;2
;135;1;1
;136;1;2
;137;1;1
;138;1;2
;139;1;1
;140;1;2
