aes-ecb-128;Round Number; Encryption Duration; Decryption Duration
;1;100;233
;2;100;233
;3;100;233
;4;100;233
;5;100;233
;6;100;233
;7;100;233
;8;100;233
;9;100;233
;10;100;233
;11;100;233
;12;100;233
;13;100;233
;14;100;233
;15;100;233
;16;100;233
;17;100;233
;18;100;233
;19;100;233
;20;100;233
;21;100;233
;22;100;233
;23;100;233
;24;100;233
;25;100;233
;26;100;233
;27;100;233
;28;100;233
;29;100;233
;30;100;233
;31;100;233
;32;100;233
;33;100;233
;34;100;233
;35;100;233
;36;100;233
;37;100;233
;38;100;233
;39;100;233
;40;100;233
;41;100;233
;42;100;233
;43;100;233
;44;100;233
;45;100;233
;46;100;233
;47;100;233
;48;100;233
;49;100;233
;50;100;233
;51;100;233
;52;100;233
;53;100;233
;54;100;233
;55;100;233
;56;100;233
;57;100;233
;58;100;233
;59;100;233
;60;100;233
;61;100;233
;62;100;233
;63;100;233
;64;100;233
;65;100;233
;66;100;233
;67;100;233
;68;100;233
;69;100;233
;70;100;233
;71;100;233
;72;100;233
;73;100;233
;74;100;233
;75;100;233
;76;100;233
;77;100;233
;78;100;233
;79;100;233
;80;100;233
;81;100;233
;82;100;233
;83;100;233
;84;100;233
;85;100;233
;86;100;233
;87;100;233
;88;100;233
;89;100;233
;90;100;233
;91;100;233
;92;100;233
;93;100;233
;94;100;233
;95;100;233
;96;100;233
;97;100;233
;98;100;233
;99;100;233
;100;100;233
;101;100;233
;102;100;233
;103;100;233
;104;100;233
;105;100;233
;106;100;233
;107;100;233
;108;100;233
;109;100;233
;110;100;233
;111;100;233
;112;100;233
;113;100;233
;114;100;233
;115;100;233
;116;100;233
;117;100;233
;118;100;233
;119;100;233
;120;100;233
;121;100;233
;122;100;233
;123;100;233
;124;100;233
;125;100;233
;126;100;233
;127;100;233
;128;100;233
;129;100;233
;130;100;233
;131;100;233
;132;100;233
;133;100;233
;134;100;233
;135;100;233
;136;100;233
;137;100;233
;138;100;233
;139;100;233
;140;100;233
;141;100;233
;142;100;233
